ID,q4_lat,q4_long,q4_district,q56,Avg_Income,ZONASTAT
"105720",45.07941194,7.676246166,Torino,"7",3750.5,"12"
"5391",45.08141,7.67423,Torino,"4",2250.5,"12"
"105611",45.07991279,7.675835037,Torino,"9",5500.5,"12"
"105814",45.07994309,7.676607513,Torino,"6",3250.5,"12"
"103104",45.08521563,7.67746582,Torino,"2",1250.5,"12"
"109098",45.08133703,7.684332275,Torino,"5",2750.5,"12"
"105317",45.08133703,7.671972656,Torino,"2",1250.5,"12"
"109128",45.08036734,7.672830963,Torino,"6",3250.5,"12"
"6212",45.0752,7.69052,Torino,"15",15000,"12"
"102163",45.07533898,7.691116333,Torino,"4",2250.5,"12"
"103891",45.07491023,7.690998316,Torino,"4",2250.5,"12"
