,ID,q3_lat,q3_long,q3_district,q4_lat,q4_long,q4_district,q56,q1_Impo,q6_motcode,Avg_Income
220,1166,45.06716,7.66367,Torino,45.06467,7.66174,Torino,14.0,3,11,12500.5
221,1167,45.08233,7.67512,Torino,45.06202,7.65936,Torino,3.0,1,1,1750.5
223,1172,45.02495,7.67614,Torino,45.06272,7.66059,Torino,4.0,3,1,2250.5
224,1173,45.06007,7.66303,Torino,45.00795,7.55847,Rivalta di Torino,3.0,1,2,1750.5
225,1175,45.07318,7.57276,Collegno,45.06251,7.66155,Torino,11.0,3,1,7500.5
226,1180,45.10079,8.00157,Aramengo,45.06461,7.66178,Torino,5.0,1,1,2750.5
227,1184,45.05394,7.65666,Torino,45.06215,7.66264,Torino,3.0,3,11,1750.5
228,1185,45.08145,7.67105,Torino,45.06291,7.6613,Torino,2.0,3,9,1250.5
229,1187,45.04936,7.65926,Torino,45.06264,7.66046,Torino,5.0,3,11,2750.5
230,1188,45.05759,7.68274,Torino,45.07821,7.71491,Torino,12.0,5,5,8500.5
231,1192,45.05917,7.65583,Torino,45.03016,7.61858,Torino,7.0,3,2,3750.5
232,1193,45.05847,7.68578,Torino,45.07058,7.66261,Torino,2.0,1,1,1250.5
233,1196,45.07366,7.58134,Collegno,45.06336,7.66219,Torino,9.0,3,1,5500.5
234,1201,45.24476,7.60889,San Carlo Canavese,45.06263,7.66281,Torino,4.0,3,1,2250.5
236,1211,45.04648,7.67283,Torino,45.06225,7.66273,Torino,3.0,3,5,1750.5
238,1220,45.03883,7.65441,Torino,45.06252,7.66276,Torino,7.0,3,5,3750.5
239,1239,45.10407,7.65271,Torino,45.06242,7.66284,Torino,3.0,3,2,1750.5
241,1262,45.06091,7.69798,Torino,45.06951,7.6815,Torino,15.0,1,4,15000.0
242,1268,45.12373,7.62735,Venaria Reale,45.06343,7.66181,Torino,3.0,1,1,1750.5
243,1275,45.05942,7.67997,Torino,45.05488,7.68449,Torino,15.0,3,11,15000.0
244,1274,45.05908,7.65594,Torino,45.06327,7.65991,Torino,3.0,3,11,1750.5
245,1279,45.02434,7.65816,Torino,45.05304,7.65678,Torino,15.0,1,2,15000.0
247,1282,45.01991,7.70854,Moncalieri,45.06261,7.66301,Torino,12.0,3,5,8500.5
248,1283,45.04691,7.67283,Torino,45.03431,7.66804,Torino,9.0,3,5,5500.5
250,1290,45.0831,7.64382,Torino,45.06255,7.66296,Torino,15.0,3,5,15000.0
251,1296,45.06453,7.64108,Torino,45.02659,7.65679,Torino,5.0,1,1,2750.5
252,1307,45.08232,7.67709,Torino,45.06261,7.66296,Torino,2.0,3,5,1250.5
253,1312,45.05532,7.64576,Torino,45.65629,8.13538,Mosso,4.0,3,5,2250.5
254,1313,45.08125,7.66705,Torino,45.06358,7.66106,Torino,14.0,3,10,12500.5
255,1314,45.13625,7.06446,Susa,45.03406,7.66714,Torino,15.0,3,1,15000.0
256,1315,45.07038,7.64487,Torino,45.06329,7.65991,Torino,15.0,3,11,15000.0
258,1330,45.07438,7.70132,Torino,45.06461,7.65692,Torino,2.0,5,11,1250.5
259,1335,45.10073,7.66013,Torino,45.06364,7.65968,Torino,15.0,3,5,15000.0
260,1339,45.06531,7.65376,Torino,45.06244,7.66284,Torino,3.0,3,11,1750.5
261,1343,45.05423,7.65633,Torino,45.0629,7.66142,Torino,2.0,3,11,1250.5
262,1346,45.04792,7.67545,Torino,45.06258,7.66206,Torino,7.0,3,10,3750.5
263,1358,45.19864,7.92616,Chivasso,45.06718,7.66221,Torino,15.0,3,1,15000.0
264,1359,45.07587,7.7252,Torino,45.06269,7.65981,Torino,11.0,3,5,7500.5
265,1362,45.02014,7.65551,Torino,45.06266,7.66257,Torino,10.0,3,5,6500.5
266,1371,44.3812,7.54074,Cuneo,45.03027,7.61936,Torino,4.0,3,4,2250.5
267,1373,45.0602,7.67168,Torino,45.0295,7.61851,Torino,6.0,3,5,3250.5
268,1375,45.10625,7.69607,Torino,45.06243,7.66242,Torino,4.0,3,1,2250.5
269,1382,45.05935,7.64232,Torino,45.0624,7.66233,Torino,6.0,3,5,3250.5
270,1385,45.06297,7.65553,Torino,45.06315,7.66035,Torino,15.0,3,11,15000.0
271,1391,44.84662,7.34711,Osasco,45.06249,7.66245,Torino,3.0,3,6,1750.5
272,1396,45.13553,7.74749,Settimo Torinese,45.06527,7.65902,Torino,7.0,3,2,3750.5
273,1397,45.06304,7.68529,Torino,45.06519,7.66105,Torino,9.0,3,9,5500.5
275,1400,45.05971,7.67276,Torino,45.06248,7.66238,Torino,6.0,3,11,3250.5
276,1404,45.0638,7.65057,Torino,45.06344,7.65993,Torino,6.0,3,11,3250.5
278,1422,45.55772,8.06506,Biella,45.06365,7.65857,Torino,8.0,3,1,4250.5
280,1424,45.05691,7.70305,Torino,45.06365,7.65943,Torino,4.0,3,5,2250.5
281,1427,44.91569,7.24771,Villar Perosa,45.05421,7.6862,Torino,3.0,3,1,1750.5
282,1431,45.11832,7.80676,Castiglione Torinese,45.06231,7.66274,Torino,8.0,3,2,4250.5
283,1432,45.05854,7.68344,Torino,45.06273,7.66049,Torino,4.0,3,5,2250.5
285,1435,45.06743,7.66363,Torino,45.02998,7.61851,Torino,2.0,3,1,1250.5
287,1437,45.05762,7.67363,Torino,45.06319,7.6594,Torino,9.0,3,11,5500.5
288,1452,45.04789,7.64344,Torino,45.06241,7.66228,Torino,5.0,3,5,2750.5
290,1459,45.06107,7.64487,Torino,45.06441,7.6592,Torino,6.0,3,11,3250.5
291,1462,44.97662,7.4454,Piossasco,45.06253,7.66051,Torino,3.0,3,1,1750.5
292,1464,45.08141,7.6657,Torino,45.06325,7.6599,Torino,6.0,3,10,3250.5
293,1465,45.06331,7.64823,Torino,45.05467,7.68451,Torino,5.0,3,5,2750.5
294,1467,45.08145,7.66572,Torino,45.06249,7.66238,Torino,15.0,3,11,15000.0
295,1469,45.09219,7.67653,Torino,45.06188,7.66335,Torino,3.0,3,5,1750.5
296,1473,45.0757,7.6497,Torino,45.0633,7.66039,Torino,10.0,3,5,6500.5
297,1479,45.03247,7.66704,Torino,45.02968,7.617,Torino,2.0,3,1,1250.5
298,1483,45.05112,7.64958,Torino,45.0634,7.65934,Torino,6.0,3,9,3250.5
299,1485,44.78495,7.37613,Cavour,45.05192,7.64271,Torino,3.0,1,1,1750.5
300,1486,45.083,7.63463,Torino,45.06228,7.66143,Torino,3.0,3,5,1750.5
302,1495,45.06168,7.68579,Torino,45.0543,7.68494,Torino,2.0,1,11,1250.5
303,1497,45.03861,7.65488,Torino,45.05472,7.6846,Torino,2.0,3,5,1250.5
305,1500,45.12787,7.49394,Val della Torre,45.06223,7.66303,Torino,4.0,3,1,2250.5
307,1511,45.06581,7.69202,Torino,45.06301,7.66151,Torino,4.0,3,5,2250.5
308,1520,45.06077,7.67438,Torino,45.05827,7.65944,Torino,3.0,3,11,1750.5
309,1528,45.1034,7.69542,Torino,45.06252,7.66192,Torino,5.0,3,5,2750.5
310,1531,45.07304,7.67727,Torino,45.06288,7.66107,Torino,13.0,3,5,9500.5
311,1538,44.654,7.80776,Cherasco,45.02472,7.63581,Torino,5.0,1,1,2750.5
312,1539,45.07604,7.72273,Torino,45.06258,7.66282,Torino,8.0,3,5,4250.5
313,1544,45.05194,7.63816,Torino,45.06236,7.65899,Torino,6.0,1,9,3250.5
314,1547,45.0721,7.71048,Torino,45.06249,7.66274,Torino,7.0,3,5,3750.5
315,1549,45.0616,7.63785,Torino,45.0624,7.66245,Torino,9.0,3,1,5500.5
316,1553,45.05193,7.67719,Torino,45.05323,7.68221,Torino,5.0,3,11,2750.5
317,1556,45.07396,7.72196,Torino,45.05335,7.68216,Torino,6.0,3,5,3250.5
318,1566,45.06578,7.69186,Torino,45.05403,7.686,Torino,4.0,1,9,2250.5
319,1568,45.06546,7.65118,Torino,45.06256,7.66137,Torino,15.0,3,11,15000.0
320,1570,45.05055,7.67872,Torino,45.06234,7.66244,Torino,3.0,3,5,1750.5
321,1571,45.24144,7.5719,Nole,45.06267,7.6614,Torino,15.0,3,2,15000.0
322,1574,45.03851,7.64121,Torino,45.06728,7.66246,Torino,5.0,1,1,2750.5
323,1577,45.05991,7.67382,Torino,45.06258,7.66279,Torino,3.0,3,1,1750.5
324,1581,44.99665,7.65258,Nichelino,45.06522,7.65669,Torino,3.0,3,5,1750.5
325,1584,45.06328,7.68386,Torino,45.03822,7.67831,Torino,14.0,1,9,12500.5
326,1585,44.82341,7.30285,Bricherasio,45.06245,7.66248,Torino,6.0,3,1,3250.5
327,1588,45.06546,7.65316,Torino,45.06291,7.66011,Torino,3.0,3,11,1750.5
328,1589,45.07565,7.68179,Torino,45.06448,7.66204,Torino,3.0,1,9,1750.5
329,1593,44.76255,7.3047,Bagnolo Piemonte,45.06258,7.6622,Torino,5.0,3,6,2750.5
331,1598,45.07595,7.66781,Torino,45.05315,7.65678,Torino,2.0,3,11,1250.5
332,1606,45.06237,7.65026,Torino,45.06243,7.66117,Torino,5.0,3,11,2750.5
333,1610,45.06698,7.69137,Torino,45.05448,7.68525,Torino,6.0,3,5,3250.5
334,1615,45.07803,7.6512,Torino,45.06245,7.66235,Torino,7.0,3,5,3750.5
335,1618,44.89841,8.60067,Alessandria,45.06218,7.66285,Torino,4.0,3,5,2250.5
